Year,Month,Danceability,Danceability,Energy,Energy,Speechiness,Speechiness,Acousticness,Acousticness,Instrumentalness,Instrumentalness,Liveness
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean
1982,9,0.6631904761904762,0.13526617627356127,0.7010714285714286,0.14652451603028552,0.042738095238095235,0.024332192390479204,0.14700238095238097,0.1580158112312526,0.03744415642857143,0.10032590838247013,0.2082904761904762
1982,10,0.6940000000000001,0.10644247272588138,0.6951276595744681,0.15933893558144982,0.04186382978723404,0.02619173803961118,0.1506912765957447,0.16048318910493836,0.04093148829787234,0.10530733578025611,0.20716382978723402
1982,11,0.7108947368421052,0.09834929188760709,0.6331842105263158,0.1629284132742432,0.03701578947368421,0.015874584928658248,0.12030026315789474,0.1021304895176659,0.04134809552631579,0.10482315177260276,0.1412578947368421
1982,12,0.7221081081081081,0.06803013375776282,0.6155405405405405,0.1826585452261792,0.035886486486486485,0.00925749432628512,0.10092675675675676,0.07012232637224648,0.014793610810810813,0.056415754576249866,0.12189189189189188
1983,1,0.7225,0.09149203617215453,0.5885952380952381,0.17199703053645013,0.036604761904761904,0.010008751107027081,0.13217261904761907,0.1380494079997117,0.00685781619047619,0.01257820775629295,0.11503571428571428
1983,2,0.6902439024390244,0.14036288335735428,0.6304146341463415,0.19219716121859812,0.041265853658536585,0.014390754145563352,0.14850975609756098,0.18322990518045634,0.006513340487804878,0.011823666318305408,0.13724390243902437
1983,3,0.6917692307692308,0.14336821594805998,0.6628461538461539,0.19616501357430507,0.04294102564102564,0.01359325912565563,0.1549,0.19467950112401342,0.005113915897435897,0.00961691529825079,0.1444820512820513
1983,4,0.6459583333333333,0.18066931804340633,0.7157708333333334,0.1747543247671504,0.0436,0.016595000528869877,0.15351145833333332,0.20041290495448663,0.003141354166666667,0.005673888404406903,0.14887708333333335
1983,5,0.6398163265306123,0.18669936545479868,0.7294693877551021,0.14178579824874568,0.05325714285714286,0.024898594337833615,0.161465306122449,0.19402683024414907,0.0027087414285714285,0.005400196311111445,0.16288163265306124
1983,6,0.6514888888888889,0.18586048313700032,0.7212000000000001,0.10029492872160949,0.054131111111111116,0.02603836175392536,0.1982488888888889,0.20384956643901336,0.002946908444444444,0.005576965080862021,0.16143555555555555
1983,7,0.60482,0.1745153861411652,0.71384,0.1396710946970688,0.058288,0.02872309488185138,0.2116526,0.2423168213926485,0.0013118258,0.0039123442339856,0.16162600000000002
1983,8,0.6017777777777779,0.09831468749773747,0.7276111111111111,0.15637505789018508,0.07416666666666666,0.036003968035283475,0.2045311111111111,0.24998349321251226,0.003468203333333333,0.009872089465466338,0.2071
1983,9,0.60155,0.14041256974925623,0.73575,0.1629002762428597,0.07415000000000001,0.035935633340595845,0.19450465,0.24100976667693205,0.044077492,0.14446723920092458,0.21269
1983,10,0.6255857142857142,0.15704402529200903,0.7428714285714285,0.16539578543151973,0.06879428571428571,0.034373771959995365,0.17050092857142857,0.2035098347829918,0.04089728628571429,0.14072778657597038,0.20034285714285716
1983,11,0.6309259259259259,0.1535185873881557,0.7667222222222222,0.13967231417110534,0.06473888888888889,0.03595445450486127,0.1585917037037037,0.15606589570031226,0.01064358148148148,0.07396026081540204,0.2466925925925926
1983,12,0.6699411764705883,0.15119211775283867,0.7776274509803921,0.11398683446509315,0.05266274509803921,0.025189013166730567,0.15147480392156865,0.08361628669918787,0.0007830650980392156,0.001356812732911027,0.26474901960784314
1984,1,0.6709268292682926,0.14887282999995372,0.7780975609756098,0.12576899555893117,0.052885365853658536,0.025598179241653207,0.15257980487804879,0.08413198744152534,0.0007942321951219512,0.0013529742109063133,0.2745853658536585
1984,2,0.6959761904761904,0.10990849588662559,0.7672857142857142,0.15211008300542203,0.048342857142857146,0.018486490028906247,0.12402507142857143,0.08541949999979097,0.000538957619047619,0.0011506115461996074,0.29283095238095236
