Year,Month,Danceability_mean,Danceability_std,Energy_mean,Energy_std,Speechiness_mean,Speechiness_std,Acousticness_mean,Acousticness_std,Instrumentalness_mean,Instrumentalness_std,Liveness_mean
1982,1,0.504816327,0.125135206,0.639061224,0.184774909,0.040122449,0.010591177,0.258012245,0.209731369,0.018241915,0.088737881,0.241718367
1982,2,0.53505,0.130884555,0.649425,0.200642671,0.04313,0.014055097,0.22183,0.197152384,0.045093798,0.134686661,0.2270475
1982,3,0.578416667,0.136763787,0.670916667,0.183032125,0.044408333,0.016026917,0.192120833,0.184994716,0.03806414,0.123731035,0.214766667
1982,4,0.591365854,0.141027082,0.664829268,0.195945005,0.046060976,0.018317244,0.20232439,0.192826126,0.044467313,0.133042408,0.20582439
1982,5,0.549317073,0.143008118,0.641414634,0.177065098,0.045307317,0.02287993,0.188743902,0.198103868,0.001465016,0.003824783,0.222770732
1982,6,0.5922,0.151676281,0.659085714,0.124109148,0.045382857,0.025790416,0.160862857,0.163729715,0.001213655,0.003740381,0.224325714
1982,7,0.622532258,0.148004953,0.688774194,0.131798955,0.0415,0.022582352,0.131023548,0.151796815,0.02561594,0.08406447,0.203370968
1982,8,0.635326531,0.147762815,0.692020408,0.134898803,0.041702041,0.022734294,0.133908163,0.152122017,0.03210668,0.093658573,0.202940816
1982,9,0.663190476,0.135266176,0.701071429,0.146524516,0.042738095,0.024332192,0.147002381,0.158015811,0.037444156,0.100325908,0.208290476
1982,10,0.694,0.106442473,0.69512766,0.159338936,0.04186383,0.026191738,0.150691277,0.160483189,0.040931488,0.105307336,0.20716383
1982,11,0.710894737,0.098349292,0.633184211,0.162928413,0.037015789,0.015874585,0.120300263,0.10213049,0.041348096,0.104823152,0.141257895
1982,12,0.722108108,0.068030134,0.615540541,0.182658545,0.035886486,0.009257494,0.100926757,0.070122326,0.014793611,0.056415755,0.121891892
1983,1,0.7225,0.091492036,0.588595238,0.171997031,0.036604762,0.010008751,0.132172619,0.138049408,0.006857816,0.012578208,0.115035714
1983,2,0.690243902,0.140362883,0.630414634,0.192197161,0.041265854,0.014390754,0.148509756,0.183229905,0.00651334,0.011823666,0.137243902
1983,3,0.691769231,0.143368216,0.662846154,0.196165014,0.042941026,0.013593259,0.1549,0.194679501,0.005113916,0.009616915,0.144482051
1983,4,0.645958333,0.180669318,0.715770833,0.174754325,0.0436,0.016595001,0.153511458,0.200412905,0.003141354,0.005673888,0.148877083
1983,5,0.639816327,0.186699365,0.729469388,0.141785798,0.053257143,0.024898594,0.161465306,0.19402683,0.002708741,0.005400196,0.162881633
1983,6,0.651488889,0.185860483,0.7212,0.100294929,0.054131111,0.026038362,0.198248889,0.203849566,0.002946908,0.005576965,0.161435556
1983,7,0.60482,0.174515386,0.71384,0.139671095,0.058288,0.028723095,0.2116526,0.242316821,0.001311826,0.003912344,0.161626
1983,8,0.601777778,0.098314687,0.727611111,0.156375058,0.074166667,0.036003968,0.204531111,0.249983493,0.003468203,0.009872089,0.2071
1983,9,0.60155,0.14041257,0.73575,0.162900276,0.07415,0.035935633,0.19450465,0.241009767,0.044077492,0.144467239,0.21269
1983,10,0.625585714,0.157044025,0.742871429,0.165395785,0.068794286,0.034373772,0.170500929,0.203509835,0.040897286,0.140727787,0.200342857
1983,11,0.630925926,0.153518587,0.766722222,0.139672314,0.064738889,0.035954455,0.158591704,0.156065896,0.010643581,0.073960261,0.246692593
1983,12,0.669941176,0.151192118,0.777627451,0.113986834,0.052662745,0.025189013,0.151474804,0.083616287,0.000783065,0.001356813,0.26474902
1984,1,0.670926829,0.14887283,0.778097561,0.125768996,0.052885366,0.025598179,0.152579805,0.084131987,0.000794232,0.001352974,0.274585366
1984,2,0.69597619,0.109908496,0.767285714,0.152110083,0.048342857,0.01848649,0.124025071,0.0854195,0.000538958,0.001150612,0.292830952
1984,3,0.705096154,0.127234885,0.718980769,0.167536533,0.049140385,0.0181969,0.112663654,0.07089737,0.000455243,0.001073382,0.219915385
1984,4,0.702860465,0.117620573,0.657581395,0.194244107,0.04797907,0.019161538,0.156073488,0.136177255,0.000722754,0.001584379,0.215225581
1984,5,0.705566038,0.116141411,0.652188679,0.170090028,0.048562264,0.020349317,0.168030943,0.139471782,0.000803246,0.001773886,0.167366038
1984,6,0.697492958,0.120401219,0.658873239,0.188957435,0.047222535,0.018062006,0.161478873,0.142712109,0.00215354,0.006974355,0.164197183
1984,7,0.692516667,0.130792434,0.65015,0.179149386,0.046151667,0.018085245,0.167991,0.150334526,0.020674985,0.096132703,0.1879
1984,8,0.69021875,0.134414954,0.69925,0.177705839,0.044846875,0.015950986,0.15557375,0.152917643,0.036053711,0.129330179,0.188146875
1984,9,0.701623377,0.131599076,0.742207792,0.163216787,0.045823377,0.015901174,0.136035065,0.119622695,0.010942369,0.060897129,0.198542857
1984,10,0.6734375,0.131247518,0.757104167,0.174570993,0.047420833,0.014070808,0.126197083,0.127463301,0.00544703,0.010889416,0.209125
1984,11,0.668245283,0.122058136,0.731962264,0.161736724,0.046681132,0.015185166,0.170517358,0.171433596,0.00578114,0.010409346,0.190415094
1984,12,0.669471698,0.112853139,0.728698113,0.134896767,0.043164151,0.013306478,0.209246604,0.177883176,0.004583626,0.008880208,0.175245283
1985,1,0.653658537,0.125301359,0.714853659,0.138291099,0.042968293,0.013227933,0.228468293,0.176818716,0.003164492,0.006669287,0.1546
1985,2,0.650575,0.132407469,0.712025,0.141658399,0.044175,0.014305849,0.2305125,0.168130306,0.003425214,0.0067123,0.138775
1985,3,0.630883721,0.126657057,0.680418605,0.134822676,0.040095349,0.012718171,0.25187907,0.15499489,0.002232485,0.003806559,0.120151163
1985,4,0.624666667,0.127521039,0.68262963,0.139129754,0.040603704,0.012939192,0.261222222,0.131672184,0.001578514,0.001988473,0.104814815
